t;Voff;Ioff;
0;0.7526;-0.47352;
0.00026;-17.90932;-0.50832;
0.00052;-36.66056;-0.53566;
0.00078;-53.80453;-0.56549;
0.00104;-70.41277;-0.56549;
0.0013;-86.84241;-0.58041;
0.00156;-102.28986;-0.59781;
0.00182;-115.68359;-0.58289;
0.00208;-127.47008;-0.60278;
0.00234;-133.54191;-0.60278;
0.0026;-139.88162;-0.56549;
0.00286;-146.13201;-0.55306;
0.00312;-150.32873;-0.55306;
0.00338;-153.54322;-0.50335;
0.00364;-156.40054;-0.44618;
0.0039;-156.75772;-0.41138;
0.00416;-156.9363;-0.34924;
0.00442;-155.9541;-0.31195;
0.00468;-154.70402;-0.23241;
0.00494;-153.9004;-0.19264;
0.0052;-152.20385;-0.13795;
0.00546;-147.56068;-0.07084;
0.00572;-142.56036;-0.00372;
0.00598;-136.39923;0.0609;
0.00625;-127.73796;0.12801;
0.00651;-117.46942;0.21252;
0.00677;-104.07569;0.24484;
0.00703;-86.84241;0.32935;
0.00729;-69.07339;0.37907;
0.00755;-51.39366;0.43375;
0.00781;-31.83881;0.46855;
0.00807;-14.33766;0.50584;
0.00833;4.14569;0.52572;
0.00859;23.25408;0.56549;
0.00885;40.30878;0.57792;
0.00911;56.82772;0.58041;
0.00937;73.52525;0.58041;
0.00963;89.32984;0.61024;
0.00989;105.58093;0.64255;
0.01015;122.81417;0.61272;
0.01041;132.90414;0.62764;
0.01067;145.22636;0.60029;
0.01093;157.10214;0.57046;
0.01119;165.40626;0.55804;
0.01145;169.60298;0.52572;
0.01171;172.99604;0.47849;
0.01197;173.88897;0.41884;
0.01223;173.35324;0.37658;
0.0125;172.63888;0.31692;
0.01276;171.56738;0.26472;
0.01302;170.49589;0.21501;
0.01328;168.26359;0.16529;
0.01354;160.76312;0.10067;
0.0138;150.67315;0.02361;
0.01406;139.5117;-0.04847;
0.01432;124.95719;-0.12552;
0.01458;108.79541;-0.18269;
0.01484;92.45504;-0.24732;
0.0151;76.65045;-0.28709;
0.01536;56.55985;-0.32935;
0.01562;38.34436;-0.40889;
0.01588;19.05739;-0.45364;
0.01614;1.55624;-0.49341;
0.0164;-16.56995;-0.50832;
