t;Voff;Ioff;
0;-150.46199;-0.26721;
0.00026;-147.42608;-0.28461;
0.00052;-142.24717;-0.31692;
0.00078;-136.26464;-0.32438;
0.00104;-128.76414;-0.32935;
0.0013;-119.56711;-0.36415;
0.00156;-106.17337;-0.36664;
0.00182;-90.81523;-0.37907;
0.00208;-72.68904;-0.36167;
0.00234;-55.45576;-0.38652;
0.0026;-36.79383;-0.35918;
0.00286;-17.9533;-0.33432;
0.00312;-0.8986;-0.32687;
0.00338;17.76332;-0.30947;
0.00364;37.40747;-0.28212;
0.0039;53.83711;-0.25975;
0.00416;71.24897;-0.22247;
0.00442;86.42854;-0.19512;
0.00468;102.14385;-0.17524;
0.00494;118.7521;-0.13298;
0.0052;132.77087;-0.11061;
0.00546;142.23577;-0.06587;
0.00572;154.20083;-0.02112;
0.00598;164.2015;-0.02112;
0.00625;170.89837;0.03107;
0.00651;174.64862;0.06587;
0.00677;177.05949;0.09072;
0.00703;177.14877;0.12304;
0.00729;176.07728;0.15535;
0.00755;174.8272;0.18269;
0.00781;172.41633;0.22992;
0.00807;171.96986;0.24732;
0.00833;166.5231;0.27964;
0.00859;156.70101;0.29952;
0.00885;145.53956;0.32687;
0.00911;131.61007;0.32687;
0.00937;116.43051;0.35918;
0.00963;99.28653;0.37161;
0.00989;82.94617;0.35421;
0.01015;64.81998;0.34427;
0.01041;46.96167;0.36664;
0.01067;27.94256;0.36167;
0.01093;9.19133;0.32438;
0.01119;-7.77406;0.33184;
0.01145;-26.88246;0.29455;
0.01171;-45.81227;0.28461;
0.01197;-62.06334;0.25478;
0.01223;-78.85015;0.22247;
0.0125;-94.56547;0.19761;
0.01276;-108.85212;0.18269;
0.01302;-120.28144;0.12801;
0.01328;-130.19281;0.10564;
0.01354;-134.74668;0.05841;
0.0138;-140.99708;0.02609;
0.01406;-145.90812;-0.02361;
0.01432;-150.19412;-0.04847;
0.01458;-153.14074;-0.09569;
0.01484;-155.01586;-0.09569;
0.0151;-154.83728;-0.13795;
0.01536;-154.6587;-0.18518;
0.01562;-153.4979;-0.20258;
0.01588;-151.2656;-0.22744;
0.01614;-150.37271;-0.25975;
0.0164;-147.60467;-0.30449;
