t;Voff;Ioff;
0;0.33518;0.34924;
0.00026;-17.43383;0.32687;
0.00052;-36.54224;0.32935;
0.00078;-55.02559;0.29207;
0.00104;-70.47303;0.24732;
0.0013;-87.88488;0.22992;
0.00156;-102.88587;0.18269;
0.00182;-116.45819;0.15784;
0.00208;-127.35176;0.12801;
0.00234;-134.31651;0.11309;
0.0026;-139.40612;0.04847;
0.00286;-145.21008;0.02112;
0.00312;-150.65686;-0.03355;
0.00338;-154.85357;-0.04847;
0.00364;-156.90728;-0.08078;
0.0039;-157.53231;-0.12304;
0.00416;-157.44302;-0.16032;
0.00442;-156.46083;-0.18518;
0.00468;-155.12144;-0.20755;
0.00494;-153.51419;-0.23241;
0.0052;-152.3534;-0.26969;
0.00546;-148.06741;-0.27218;
0.00572;-142.70991;-0.32189;
0.00598;-136.54879;-0.31692;
0.00625;-128.60185;-0.35669;
0.00651;-117.70827;-0.35669;
0.00677;-104.6717;-0.36167;
0.00703;-87.34914;-0.35172;
0.00729;-69.04436;-0.36912;
0.00755;-51.98968;-0.35669;
0.00781;-32.79198;-0.33681;
0.00807;-14.48721;-0.32687;
0.00833;2.92463;-0.31195;
0.00859;22.56878;-0.29704;
0.00885;41.05213;-0.26969;
0.00911;57.48179;-0.24235;
0.00937;74.3579;-0.21749;
0.00963;90.16249;-0.21004;
0.00989;105.69924;-0.14541;
0.01015;122.39675;-0.11061;
0.01041;133.82609;-0.08575;
0.01067;144.3625;-0.05344;
0.01093;156.50613;-0.02361;
0.01119;165.88177;0.01615;
0.01145;171.14996;0.06587;
0.01171;174.0073;0.10812;
0.01197;175.16807;0.14044;
0.01223;174.27516;0.15535;
0.0125;173.47155;0.19264;
0.01276;170.43563;0.21998;
0.01302;170.5249;0.25229;
0.01328;168.73908;0.27467;
0.01354;161.86363;0.28461;
0.0138;151.86297;0.33681;
0.01406;139.45144;0.34924;
0.01432;125.34337;0.36167;
0.01458;109.00303;0.37161;
0.01484;92.48409;0.35918;
0.0151;77.30451;0.38155;
0.01536;56.85675;0.37409;
0.01562;39.17702;0.36664;
0.01588;19.89003;0.35669;
0.01614;1.40667;0.36415;
0.0164;-16.00518;0.33929;
